Crop,Crop_Year,Season,State/UT,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Sweet Potato,1998,Whole Year,Kerala,1099.0,11924.0,2681.1,108581.2,318.71,5.42072281
Tapioca,1998,Whole Year,Kerala,112774.0,339962.5,2681.1,11142071.2,32704.46,5.42072281
Tobacco,1998,Whole Year,Kerala,41.0,228.0,2681.1,4050.8,11.89,5.42072281
Turmeric,1998,Whole Year,Kerala,3706.0,8034.0,2681.1,366152.8,1074.74,1.997857143
Arecanut,1998,Whole Year,Meghalaya,9585.0,11567.0,2681.1,946998.0,2779.65,1.151666667
Arhar/Tur,1998,Monsoon,Meghalaya,861.0,678.0,2681.1,85066.8,249.69,0.803333333
Banana,1998,Whole Year,Meghalaya,5194.0,62888.0,2681.1,513167.2,1506.26,5.42072281
Cotton (Lint),1998,Monsoon,Meghalaya,7549.0,5599.0,2681.1,745841.2,2189.21,0.796666667
Dry Chillies,1998,Whole Year,Meghalaya,1764.0,1051.0,2681.1,174283.2,511.56,0.598571429
Ginger,1998,Monsoon,Meghalaya,7403.0,45590.0,2681.1,731416.4,2146.87,5.42072281
Gram,1998,Winter,Meghalaya,463.0,283.0,2681.1,45744.4,134.27,0.61
Jute,1998,Monsoon,Meghalaya,4241.0,27097.0,2681.1,419010.8,1229.89,5.42072281
Linseed,1998,Monsoon,Meghalaya,51.0,23.0,2681.1,5038.8,14.79,0.45
Maize,1998,Monsoon,Meghalaya,17219.0,25272.0,2681.1,1701237.2,4993.51,1.457142857
Mesta,1998,Monsoon,Meghalaya,4681.0,21362.0,2681.1,462482.8,1357.49,4.58
Mesta,1998,Whole Year,Meghalaya,871.0,631.0,2681.1,86054.8,252.59,0.68
Potato,1998,Whole Year,Meghalaya,20753.0,201059.0,2681.1,2050396.4,6018.37,5.42072281
Rapeseed & Mustard,1998,Winter,Meghalaya,6916.0,4576.0,2681.1,683300.8,2005.64,0.635714286
Rice,1998,Monsoon,Meghalaya,105402.0,149742.0,2681.1,10413717.6,30566.58,1.51
